;area;parola_cercata;date;media;median;count;stato
22;EU;AstraZeneca;2021-03-23;0,0;0,031452325776658414;11910;Czech Republic
23;EU;AstraZeneca;2021-03-24;0,0;-0,01068311311165971;6887;Czech Republic
24;EU;AstraZeneca;2021-03-25;0,0;0,06393238589456308;8479;Czech Republic
25;EU;AstraZeneca;2021-03-26;0,0;0,020692387543252325;4335;Czech Republic
26;EU;AstraZeneca;2021-03-27;0,0;0,04507802919708016;2740;Czech Republic
27;EU;AstraZeneca;2021-03-28;0,0;0,03706101882613512;1806;Czech Republic
28;EU;AstraZeneca;2021-03-29;0,0;0,02630766000000003;5000;Czech Republic
29;EU;AstraZeneca;2021-03-30;0,0;-0,05021556048057854;8573;Czech Republic
30;EU;AstraZeneca;2021-03-31;0,0;0,0;0;Czech Republic
0;EU;AstraZeneca;2021-03-01;0,0;0,0;0;Denmark
1;EU;AstraZeneca;2021-03-02;0,0;0,0;0;Denmark
2;EU;AstraZeneca;2021-03-03;0,0;0,0;0;Denmark
3;EU;AstraZeneca;2021-03-04;0,0;0,0;0;Denmark
4;EU;AstraZeneca;2021-03-05;0,0;0,0;1;Denmark
5;EU;AstraZeneca;2021-03-06;0,0;0,0;0;Denmark
6;EU;AstraZeneca;2021-03-07;-0,6652;-0,6652;1;Denmark
7;EU;AstraZeneca;2021-03-08;0,0;0,0;0;Denmark
8;EU;AstraZeneca;2021-03-09;0,0;0,0;0;Denmark
9;EU;AstraZeneca;2021-03-10;0,4404;0,4404;1;Denmark
10;EU;AstraZeneca;2021-03-11;-0,148;-0,148;2;Denmark
11;EU;AstraZeneca;2021-03-12;-0,125;-0,125;2;Denmark
12;EU;AstraZeneca;2021-03-13;0,242;0,242;1;Denmark
13;EU;AstraZeneca;2021-03-14;0,03529999999999997;0,03529999999999997;2;Denmark
14;EU;AstraZeneca;2021-03-15;-0,5106;-0,2882142857142857;7;Denmark
15;EU;AstraZeneca;2021-03-16;0,1366;0,057325000000000015;4;Denmark
16;EU;AstraZeneca;2021-03-17;0,0;-0,048911331775701;1712;Denmark
17;EU;AstraZeneca;2021-03-18;0,0;0,12137223206667529;15237;Denmark
18;EU;AstraZeneca;2021-03-19;0,0;0,08421772198633756;10834;Denmark
19;EU;AstraZeneca;2021-03-20;0,0;-0,03964713046379635;5994;Denmark
20;EU;AstraZeneca;2021-03-21;0,0;-0,08786482958665692;4137;Denmark
21;EU;AstraZeneca;2021-03-22;0,1613;0,16750269882970661;12561;Denmark
22;EU;AstraZeneca;2021-03-23;0,0;0,031452325776658414;11910;Denmark
23;EU;AstraZeneca;2021-03-24;0,0;-0,01068311311165971;6887;Denmark
24;EU;AstraZeneca;2021-03-25;0,0;0,06393238589456308;8479;Denmark
25;EU;AstraZeneca;2021-03-26;0,0;0,020692387543252325;4335;Denmark
26;EU;AstraZeneca;2021-03-27;0,0;0,04507802919708016;2740;Denmark
27;EU;AstraZeneca;2021-03-28;0,0;0,03706101882613512;1806;Denmark
28;EU;AstraZeneca;2021-03-29;0,0;0,02630766000000003;5000;Denmark
29;EU;AstraZeneca;2021-03-30;0,0;-0,05021556048057854;8573;Denmark
30;EU;AstraZeneca;2021-03-31;0,0;0,0;0;Denmark
0;EU;AstraZeneca;2021-03-01;0,0;0,0;0;Estonia
1;EU;AstraZeneca;2021-03-02;0,0;0,0;0;Estonia
2;EU;AstraZeneca;2021-03-03;0,0;0,0;0;Estonia
3;EU;AstraZeneca;2021-03-04;0,0;0,0;0;Estonia
4;EU;AstraZeneca;2021-03-05;0,0;0,0;1;Estonia
5;EU;AstraZeneca;2021-03-06;0,0;0,0;0;Estonia
6;EU;AstraZeneca;2021-03-07;-0,6652;-0,6652;1;Estonia
7;EU;AstraZeneca;2021-03-08;0,0;0,0;0;Estonia
8;EU;AstraZeneca;2021-03-09;0,0;0,0;0;Estonia
9;EU;AstraZeneca;2021-03-10;0,4404;0,4404;1;Estonia
10;EU;AstraZeneca;2021-03-11;-0,148;-0,148;2;Estonia
11;EU;AstraZeneca;2021-03-12;-0,125;-0,125;2;Estonia
12;EU;AstraZeneca;2021-03-13;0,242;0,242;1;Estonia
13;EU;AstraZeneca;2021-03-14;0,03529999999999997;0,03529999999999997;2;Estonia
14;EU;AstraZeneca;2021-03-15;-0,5106;-0,2882142857142857;7;Estonia
15;EU;AstraZeneca;2021-03-16;0,1366;0,057325000000000015;4;Estonia
16;EU;AstraZeneca;2021-03-17;0,0;-0,048911331775701;1712;Estonia
17;EU;AstraZeneca;2021-03-18;0,0;0,12137223206667529;15237;Estonia
18;EU;AstraZeneca;2021-03-19;0,0;0,08421772198633756;10834;Estonia
19;EU;AstraZeneca;2021-03-20;0,0;-0,03964713046379635;5994;Estonia
20;EU;AstraZeneca;2021-03-21;0,0;-0,08786482958665692;4137;Estonia
21;EU;AstraZeneca;2021-03-22;0,1613;0,16750269882970661;12561;Estonia
22;EU;AstraZeneca;2021-03-23;0,0;0,031452325776658414;11910;Estonia
23;EU;AstraZeneca;2021-03-24;0,0;-0,01068311311165971;6887;Estonia
24;EU;AstraZeneca;2021-03-25;0,0;0,06393238589456308;8479;Estonia
25;EU;AstraZeneca;2021-03-26;0,0;0,020692387543252325;4335;Estonia
26;EU;AstraZeneca;2021-03-27;0,0;0,04507802919708016;2740;Estonia
27;EU;AstraZeneca;2021-03-28;0,0;0,03706101882613512;1806;Estonia
28;EU;AstraZeneca;2021-03-29;0,0;0,02630766000000003;5000;Estonia
29;EU;AstraZeneca;2021-03-30;0,0;-0,05021556048057854;8573;Estonia
30;EU;AstraZeneca;2021-03-31;0,0;0,0;0;Estonia
0;EU;AstraZeneca;2021-03-01;0,0;0,0;0;Finland
1;EU;AstraZeneca;2021-03-02;0,0;0,0;0;Finland
2;EU;AstraZeneca;2021-03-03;0,0;0,0;0;Finland
3;EU;AstraZeneca;2021-03-04;0,0;0,0;0;Finland
4;EU;AstraZeneca;2021-03-05;0,0;0,0;1;Finland
5;EU;AstraZeneca;2021-03-06;0,0;0,0;0;Finland
6;EU;AstraZeneca;2021-03-07;-0,6652;-0,6652;1;Finland
7;EU;AstraZeneca;2021-03-08;0,0;0,0;0;Finland
8;EU;AstraZeneca;2021-03-09;0,0;0,0;0;Finland
9;EU;AstraZeneca;2021-03-10;0,4404;0,4404;1;Finland
10;EU;AstraZeneca;2021-03-11;-0,148;-0,148;2;Finland
11;EU;AstraZeneca;2021-03-12;-0,125;-0,125;2;Finland
12;EU;AstraZeneca;2021-03-13;0,242;0,242;1;Finland
13;EU;AstraZeneca;2021-03-14;0,03529999999999997;0,03529999999999997;2;Finland
14;EU;AstraZeneca;2021-03-15;-0,5106;-0,2882142857142857;7;Finland
15;EU;AstraZeneca;2021-03-16;0,1366;0,057325000000000015;4;Finland
16;EU;AstraZeneca;2021-03-17;0,0;-0,048911331775701;1712;Finland
17;EU;AstraZeneca;2021-03-18;0,0;0,12137223206667529;15237;Finland
18;EU;AstraZeneca;2021-03-19;0,0;0,08421772198633756;10834;Finland
19;EU;AstraZeneca;2021-03-20;0,0;-0,03964713046379635;5994;Finland
20;EU;AstraZeneca;2021-03-21;0,0;-0,08786482958665692;4137;Finland
21;EU;AstraZeneca;2021-03-22;0,1613;0,16750269882970661;12561;Finland
22;EU;AstraZeneca;2021-03-23;0,0;0,031452325776658414;11910;Finland
23;EU;AstraZeneca;2021-03-24;0,0;-0,01068311311165971;6887;Finland
24;EU;AstraZeneca;2021-03-25;0,0;0,06393238589456308;8479;Finland
